Procedure Code,Description,Customer/Network Name,Modifier,Product,Max Amount,Site Of Service
99223,INITIAL HOSPITAL CARE,APCN_Seattle_OASEL99,,MEPO,$268.20 ,Both
99223,INITIAL HOSPITAL CARE,WA Value Network- West,,MEPO,$268.20 ,Both
55875,TRANSPERINEAL PLCMNT NEEDLES,,,MEPPO,$776.61 ,Both
55876,PLACE RT DEVICE/MARKER PROS,,,MEPPO,$154.59 ,Office
55876,PLACE RT DEVICE/MARKER PROS,,,MEPPO,$101.25 ,Non-Office
77263,RADIATION THERAPY PLANNING,,,MEPPO,$168.98 ,Both
77427,"RADIATION TX MANAGEMENT, X5",,,MEPPO,$191.49 ,Both
77431,RADIATION THERAPY MANAGEMENT,,,MEPPO,$107.48 ,Both
77432,STEREOTACTIC RADIATION TREAT,,,MEPPO,$426.73 ,Both
77435,STEREOTACTIC BODY RADIATION,,,MEPPO,$643.88 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,,,MEPPO,$222.70 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,,,MEPPO,$183.40 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MEPPO,$182.31 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MEPPO,$145.82 ,Non-Office
99223,INITIAL HOSPITAL CARE,,,MEPPO,$196.49 ,Both
55875,TRANSPERINEAL PLCMNT NEEDLES,,,MHMO,"$1,255.95 ",Both
55876,PLACE RT DEVICE/MARKER PROS,,,MHMO,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,,,MHMO,$163.17 ,Non-Office
77263,RADIATION THERAPY PLANNING,,,MHMO,$201.89 ,Both
77427,"RADIATION TX MANAGEMENT, X5",,,MHMO,$229.06 ,Both
77431,RADIATION THERAPY MANAGEMENT,,,MHMO,$129.20 ,Both
77432,STEREOTACTIC RADIATION TREAT,,,MHMO,$509.12 ,Both
77435,STEREOTACTIC BODY RADIATION,,,MHMO,$768.74 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,,,MHMO,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,,,MHMO,$249.76 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MHMO,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MHMO,$198.41 ,Non-Office
99223,INITIAL HOSPITAL CARE,,,MHMO,$268.20 ,Both
55875,TRANSPERINEAL PLCMNT NEEDLES,,,MPPO,"$1,255.95 ",Both
55876,PLACE RT DEVICE/MARKER PROS,,,MPPO,$253.70 ,Office
55876,PLACE RT DEVICE/MARKER PROS,,,MPPO,$163.17 ,Non-Office
77263,RADIATION THERAPY PLANNING,,,MPPO,$201.89 ,Both
77427,"RADIATION TX MANAGEMENT, X5",,,MPPO,$229.06 ,Both
77431,RADIATION THERAPY MANAGEMENT,,,MPPO,$129.20 ,Both
77432,STEREOTACTIC RADIATION TREAT,,,MPPO,$509.12 ,Both
77435,STEREOTACTIC BODY RADIATION,,,MPPO,$768.74 ,Both
99205,OFFICE O/P NEW HI 60-74 MIN,,,MPPO,$306.21 ,Office
99205,OFFICE O/P NEW HI 60-74 MIN,,,MPPO,$249.76 ,Non-Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MPPO,$251.20 ,Office
99215,OFFICE O/P EST HI 40-54 MIN,,,MPPO,$198.41 ,Non-Office
99223,INITIAL HOSPITAL CARE,,,MPPO,$268.20 ,Both
,,,,,,
Time Stamp,6/16/2022 11:46,,,,,
