	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2015"																																																																
0076T	"	S&i stent/chest vert art"	C																																																															
00770	"	Anesth blood vessel repair"	N																																																															
0078T	"	Endovasc aort repr w/device"	C		D14																																																													
00790	"	Anesth surg upper abdomen"	N																																																															
00792	"	Anesth hemorr/excise liver"	C																																																															
00794	"	Anesth pancreas removal"	C																																																															
00796	"	Anesth for liver transplant"	C																																																															
00797	"	Anesth surgery for obesity"	N																																																															
0079T	"	Endovasc visc extnsn repr"	C		D14																																																													
00800	"	Anesth abdominal wall surg"	N																																																															
00802	"	Anesth fat layer removal"	C																																																															
0080T	"	Endovasc aort repr rad s&i"	C		D14																																																													
00810	"	Anesth low intestine scope"	N																																																															
0081T	"	Endovasc visc extnsn s&i"	C		D14																																																													
00820	"	Anesth abdominal wall surg"	N																																																															
00830	"	Anesth repair of hernia"	N																																																															
00832	"	Anesth repair of hernia"	N																																																															
00834	"	Anesth hernia repair < 1 yr"	N																																																															
00836	"	Anesth hernia repair preemie"	N																																																															
00840	"	Anesth surg lower abdomen"	N																																																															
00842	"	Anesth amniocentesis"	N																																																															
00844	"	Anesth pelvis surgery"	C																																																															
00846	"	Anesth hysterectomy"	C																																																															
00848	"	Anesth pelvic organ surg"	C																																																															
00851	"	Anesth tubal ligation"	N																																																															
0085T	"	Breath test heart reject"	E																																																															
00860	"	Anesth surgery of abdomen"	N																																																															
00862	"	Anesth kidney/ureter surg"	N																																																															
00864	"	Anesth removal of bladder"	C																																																															
00865	"	Anesth removal of prostate"	C																																																															
00866	"	Anesth removal of adrenal"	C																																																															
00868	"	Anesth kidney transplant"	C																																																															
00870	"	Anesth bladder stone surg"	N																																																															
00872	"	Anesth kidney stone destruct"	N																																																															
00873	"	Anesth kidney stone destruct"	N																																																															
00880	"	Anesth abdomen vessel surg"	N																																																															
00882	"	Anesth major vein ligation"	C																																																															
00902	"	Anesth anorectal surgery"	N																																																															
00904	"	Anesth perineal surgery"	C																																																															
00906	"	Anesth removal of vulva"	N																																																															
00908	"	Anesth removal of prostate"	C																																																															
00910	"	Anesth bladder surgery"	N																																																															
00912	"	Anesth bladder tumor surg"	N																																																															
00914	"	Anesth removal of prostate"	N																																																															
00916	"	Anesth bleeding control"	N																																																															
00918	"	Anesth stone removal"	N																																																															
00920	"	Anesth genitalia surgery"	N																																																															
00921	"	Anesth vasectomy"	N																																																															
00922	"	Anesth sperm duct surgery"	N																																																															
00924	"	Anesth testis exploration"	N																																																															
00926	"	Anesth removal of testis"	N																																																															
00928	"	Anesth removal of testis"	N																																																															
0092T	"	Artific disc addl cervical"	C		D15																																																													
00930	"	Anesth testis suspension"	N																																																															
00932	"	Anesth amputation of penis"	C																																																															
00934	"	Anesth penis nodes removal"	C																																																															
00936	"	Anesth penis nodes removal"	C																																																															
00938	"	Anesth insert penis device"	N																																																															
00940	"	Anesth vaginal procedures"	N																																																															
00942	"	Anesth surg on vag/urethral"	N																																																															
00944	"	Anesth vaginal hysterectomy"	C																																																															
00948	"	Anesth repair of cervix"	N																																																															
00950	"	Anesth vaginal endoscopy"	N																																																															
00952	"	Anesth hysteroscope/graph"	N																																																															
0095T	"	Rmvl artific disc addl crvcl"	C		NI6 																																																													
0098T	"	Rev artific disc addl"	C		NI6																																																													
0099T	"	Implant corneal ring"	T	0233	NI6																																																													
0100T	"	Prosth retina receive&gen"	T	0673	NI6																																																													
0101T	"	Extracorp shockwv tx hi enrg"	T	0050	NI6																																																													
0102T	"	Extracorp shockwv tx anesth"	T	0050	NI6																																																													
0103T	"	Holotranscobalamin"	A		NI6																																																													
0106T	"	Touch quant sensory test"	N	0340	NI6																																																													
0107T	"	Vibrate quant sensory test"	N	0340	NI6																																																													
0108T	"	Cool quant sensory test"	N	0420	NI6																																																													
0109T	"	Heat quant sensory test"	N	0340	NI6																																																													
0110T	"	Nos quant sensory test"	N	0340	NI6																																																													
01112	"	Anesth bone aspirate/bx"	N																																																															
0111T	"	Rbc membranes fatty acids"	A		NI6																																																													
01120	"	Anesth pelvis surgery"	N																																																															
01130	"	Anesth body cast procedure"	N																																																															
01140	"	Anesth amputation at pelvis"	C																																																															
01150	"	Anesth pelvic tumor surgery"	C																																																															
01160	"	Anesth pelvis procedure"	N																																																															
01170	"	Anesth pelvis surgery"	N																																																															
01173	"	Anesth fx repair pelvis"	N																																																															
01180	"	Anesth pelvis nerve removal"	N																																																															
01190	"	Anesth pelvis nerve removal"	N																																																															
01200	"	Anesth hip joint procedure"	N																																																															
01202	"	Anesth arthroscopy of hip"	N																																																															
01210	"	Anesth hip joint surgery"	N																																																															
01212	"	Anesth hip disarticulation"	C																																																															
01214	"	Anesth hip arthroplasty"	C																																																															
01215	"	Anesth revise hip repair"	N																																																															
01220	"	Anesth procedure on femur"	N																																																															
01230	"	Anesth surgery of femur"	N																																																															
01232	"	Anesth amputation of femur"	C																																																															
01234	"	Anesth radical femur surg"	C																																																															
0123T	"	Scleral fistulization"	T	0233	NI6																																																													
0124T	"	Conjunctival drug placement"	T	0232	D14																																																													
01250	"	Anesth upper leg surgery"	N																																																															
01260	"	Anesth upper leg veins surg"	N																																																															
0126T	"	Chd risk imt study"	N	0340	NI6																																																													
01270	"	Anesth thigh arteries surg"	N																																																															
01272	"	Anesth femoral artery surg"	C																																																															
01274	"	Anesth femoral embolectomy"	C																																																															
01320	"	Anesth knee area surgery"	N																																																															
01340	"	Anesth knee area procedure"	N																																																															
01360	"	Anesth knee area surgery"	N																																																															
01380	"	Anesth knee joint procedure"	N																																																															
