zip5,lat,lon,city_label,geocoded_at,source
98614,46.2843198,-123.9547471,98614,2026-02-05T23:11:09.195616,
98394,47.3409943,-122.747114,98394,2026-02-05T23:11:11.409104,
98583,47.0032949,-123.4806575,98583,2026-02-05T23:11:12.670730,
98405,47.2476257,-122.4685998,98405,2026-02-05T23:11:13.711419,
98611,46.2784645,-122.902623,98611,2026-02-05T23:11:14.877386,
98321,47.1639713,-122.1047444,98321,2026-02-05T23:11:15.910416,
98103,47.6736289,-122.3439845,98103,2026-02-05T23:11:17.092181,
98466,47.2342044,-122.5369946,98466,2026-02-05T23:11:18.113995,
98312,47.5650848,-122.6729036,98312,2026-02-05T23:11:20.335759,
98560,47.2386202,-123.407555,98560,2026-02-05T23:11:21.514170,
98522,46.6380002,-123.0592101,98522,2026-02-05T23:11:22.521034,
98587,47.3399432,-124.2884749,98587,2026-02-05T23:11:23.710034,
98444,47.1640219,-122.4514572,98444,2026-02-05T23:11:24.733839,
98626,46.1499238,-122.9032752,98626,2026-02-05T23:11:25.899545,
98036,47.8024675,-122.2786628,98036,2026-02-05T23:11:26.942635,
98125,47.7160526,-122.3022325,98125,2026-02-05T23:11:28.122458,
98498,47.1667254,-122.5478961,98498,2026-02-05T23:11:29.139775,
98645,46.3018116,-122.7830711,98645,2026-02-05T23:11:31.384817,
98649,46.3169421,-122.5618178,98649,2026-02-05T23:11:33.553401,
98593,46.4006189,-122.9595369,98593,2026-02-05T23:11:35.828131,
98252,48.0827861,-121.9473725,98252,2026-02-05T23:11:36.933343,
98372,47.228481,-122.2825531,98372,2026-02-05T23:11:37.970212,
98042,47.363999,-122.1163511,98042,2026-02-05T23:11:40.182944,
98632,46.1579531,-122.9413691,98632,2026-02-05T23:11:41.351779,
98528,47.4357364,-122.8391646,98528,2026-02-05T23:11:43.576873,
98058,47.4465549,-122.1458665,98058,2026-02-05T23:11:46.033483,
98104,47.6015375,-122.3292078,98104,2026-02-05T23:11:46.797629,
98374,47.1307269,-122.2670882,98374,2026-02-05T23:11:48.995505,
98588,47.3725101,-123.0547555,98588,2026-02-05T23:11:50.172165,
98852,48.3429312,-120.7176949,98852,2026-02-05T23:11:51.343442,
98126,47.5457007,-122.3749644,98126,2026-02-05T23:11:53.454077,
98942,46.6555565,-120.5310504,98942,2026-02-05T23:11:55.643074,
98188,47.4493105,-122.2760975,98188,2026-02-05T23:11:57.836238,
98056,47.5105823,-122.1833858,98056,2026-02-05T23:11:59.026585,
98382,48.0656314,-123.0178762,98382,2026-02-05T23:12:01.517486,
98575,47.477437,-123.8320737,98575,2026-02-05T23:12:01.662000,
98273,48.4273406,-122.3290848,98273,2026-02-05T23:12:02.733107,
98526,47.4596776,-123.8951504,98526,2026-02-05T23:12:07.087804,
98631,46.3522027,-124.0536353,98631,2026-02-05T23:12:08.086520,
14850,45.5346579,-122.8290748,14850,2026-02-05T23:12:11.007066,
98260,48.0357902,-122.4282721,98260,2026-02-05T23:12:13.402511,
98006,47.5586794,-122.150125,98006,2026-02-05T23:12:16.933484,
98610,45.7414894,-121.8286992,98610,2026-02-05T23:12:18.104606,
98926,46.9934215,-120.5422526,98926,2026-02-05T23:12:19.062687,
98407,47.2842121,-122.5072496,98407,2026-02-05T23:12:20.023276,
98040,47.5629735,-122.2274744,98040,2026-02-05T23:12:22.249977,
98406,47.2619867,-122.505815,98406,2026-02-05T23:12:24.600085,
98221,48.4923498,-122.6297431,98221,2026-02-05T23:12:27.179489,
98421,47.2479876,-122.409808,98421,2026-02-05T23:12:28.434088,
98166,47.4566103,-122.3497352,98166,2026-02-05T23:12:29.459490,
98433,47.0963302,-122.5893579,98433,2026-02-05T23:12:31.668543,
98376,47.8079483,-122.8446358,98376,2026-02-05T23:12:35.104854,
98373,47.1612584,-122.324801,98373,2026-02-05T23:12:36.086424,
98362,48.1105665,-123.4144927,98362,2026-02-05T23:12:37.265370,
98045,47.476608,-121.7608433,98045,2026-02-05T23:12:39.464991,
98031,47.405729,-122.1925895,98031,2026-02-05T23:12:42.710510,
98371,47.201787,-122.3194256,98371,2026-02-05T23:12:43.868060,
98107,47.6692674,-122.376658,98107,2026-02-05T23:12:46.223383,
98329,47.353908,-122.6783148,98329,2026-02-05T23:12:47.174817,
98360,47.1029491,-122.2152363,98360,2026-02-05T23:12:51.573398,
98023,47.3081244,-122.3614497,98023,2026-02-05T23:12:53.730140,
98527,46.626696,-123.953687,98527,2026-02-05T23:12:55.025528,
98168,47.4888899,-122.305539,98168,2026-02-05T23:12:57.235384,
98055,47.4479821,-122.2004822,98055,2026-02-05T23:12:58.183550,
98342,47.7473296,-122.5382586,98342,2026-02-05T23:13:00.356645,
98115,47.6846433,-122.2999965,98115,2026-02-05T23:13:01.666991,
98074,47.6229561,-122.0413733,98074,2026-02-05T23:13:02.596436,
98408,47.198599,-122.4444227,98408,2026-02-05T23:13:03.741421,
98051,47.3511583,-121.9290772,98051,2026-02-05T23:13:05.966074,
98467,47.2030739,-122.5173065,98467,2026-02-05T23:13:08.179505,
98662,45.6774467,-122.5747813,98662,2026-02-05T23:13:09.207485,
98020,47.803094,-122.3699398,98020,2026-02-05T23:13:11.388382,
98640,46.4825819,-124.0509741,98640,2026-02-05T23:13:12.573054,
98003,47.31503,-122.3122383,98003,2026-02-05T23:13:13.621009,
98047,47.2642723,-122.2471271,98047,2026-02-05T23:13:14.882228,
12543,45.5509201,-122.8064882,12543,2026-02-05T23:13:16.718225,
98366,47.526745,-122.5974886,98366,2026-02-05T23:13:18.035998,
98001,47.3129753,-122.2718015,98001,2026-02-05T23:13:19.221396,
98029,47.5587556,-122.0132139,98029,2026-02-05T23:13:20.223832,
98638,46.3773615,-123.7796774,98638,2026-02-05T23:13:22.490026,
98682,45.6718603,-122.5199823,98682,2026-02-05T23:13:23.634152,
98304,46.7771207,-122.0049552,98304,2026-02-05T23:13:24.632226,
98370,47.7466993,-122.6467112,98370,2026-02-05T23:13:28.036462,
98201,47.9886811,-122.2033496,98201,2026-02-05T23:13:32.565750,
98851,47.3867362,-119.4946904,98851,2026-02-05T23:13:36.838707,
98282,48.1885462,-122.5024662,98282,2026-02-05T23:13:37.916355,
98208,47.8845062,-122.1961684,98208,2026-02-05T23:13:40.073462,
98812,48.0610461,-119.7032071,98812,2026-02-05T23:13:41.265399,
98624,46.3085266,-124.0396054,98624,2026-02-05T23:13:45.664937,
98424,47.2294962,-122.347945,98424,2026-02-05T23:13:47.929589,
98250,48.5333714,-123.0209583,98250,2026-02-05T23:13:48.917877,
98647,46.2766319,-123.4460904,98647,2026-02-05T23:13:50.091851,
98335,47.3129648,-122.5926973,98335,2026-02-05T23:13:51.111656,
98368,48.1005588,-122.801879,98368,2026-02-05T23:13:52.313702,
98354,47.2511003,-122.3107014,98354,2026-02-05T23:13:53.311995,
98226,48.7850735,-122.4661484,98226,2026-02-05T23:13:55.522170,
98925,47.2355021,-121.1764329,98925,2026-02-05T23:13:56.708203,
28117,47.3496551,-122.2737486,28117,2026-02-05T23:13:58.146961,
98465,47.2494837,-122.5262646,98465,2026-02-05T23:13:58.897847,
98922,47.2139985,-121.0371408,98922,2026-02-05T23:13:59.966617,
99301,46.2406098,-119.1048938,99301,2026-02-05T23:14:01.125180,
99362,46.0643043,-118.3195737,99362,2026-02-05T23:14:02.275852,
98411,47.2199666,-122.4725586,98411,2026-02-05T23:14:05.818638,
99212,47.6715028,-117.3046494,99212,2026-02-05T23:14:07.799977,
99032,47.3303835,-118.002695,99032,2026-02-05T23:14:08.810385,
98063,47.314413,-122.3213863,98063,2026-02-05T23:14:09.993714,
98923,46.6684538,-120.7060086,98923,2026-02-05T23:14:15.417574,
01906,40.1709768,-80.2454528,Washington,2026-02-05T23:14:16.923175,
98418,47.2217724,-122.4476466,98418,2026-02-05T23:14:17.648334,
46226,47.4735693,-121.7242068,46226,2026-02-05T23:14:21.627052,
98070,47.4311024,-122.459159,98070,2026-02-05T23:14:22.053174,
38633,47.254483,-121.9898377,38633,2026-02-05T23:14:23.489953,
99037,47.6526134,-117.2018884,99037,2026-02-05T23:14:24.394545,
