addr_key,lat,lon,geocoded_at,source
201 CEDAR ST SE|ALBUQUERQUE|NM|87106,35.007139,-106.60982,2026-04-17T09:12:27.536512,zip
1135 116TH AVE NE SUITE 200|BELLEVUE|WA|98004,47.618337,-122.205341,2026-04-17T09:12:27.536514,zip
9600 VETERANS DR SW|LAKEWOOD|WA|98498,47.166725,-122.547896,2026-04-17T09:12:27.536516,street
1560 N 115TH ST|SEATTLE|WA|98133,47.740485,-122.342826,2026-04-17T09:12:27.536518,zip
304 WEST BAY DR|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536521,street
4245 ROOSEVELT WY NE|SEATTLE|WA|98105,47.659861,-122.284977,2026-04-17T09:12:27.536523,zip
2920 S MERIDIAN|PUYALLUP|WA|98373,47.161258,-122.324801,2026-04-17T09:12:27.536525,street
1624 S IST STE 204|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536527,street
1793 13TH ST SE|SALEM|OR|97302,44.903176,-123.064432,2026-04-17T09:12:27.536530,zip
9205 SW BARNES RD|PORTLAND|OR|97225,45.503048,-122.770132,2026-04-17T09:12:27.536532,zip
1608 S J ST FL 5|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536535,street
515 W MAIN ST|ELMA|WA|98541,46.983928,-123.356174,2026-04-17T09:12:27.536537,street
914 S SCHEUBER RD|ZYYTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536540,street
412 BLACK HILLS LANE SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536542,street
"1560 N 115TH ST, STE G-10|SEATTLE|WA|98133",47.740485,-122.342826,2026-04-17T09:12:27.536545,zip
915 6TH AVE|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536547,street
3150 EAST 27TH AVE|SPOKANE|WA|99223,47.597087,-117.317796,2026-04-17T09:12:27.536549,zip
1040 NW 22ND AVE STE 560|PORTLAND|OR|97210,45.545484,-122.736853,2026-04-17T09:12:27.536551,zip
1607 COOPER PT RD NW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536553,street
915 6TH AVE|TACOMA|WA|98407,47.284212,-122.50725,2026-04-17T09:12:27.536556,street
931 HIGHLAND BLVD|BOZEMAN|MT|59715,45.693722,-110.906093,2026-04-17T09:12:27.536558,zip
413 LILLY RD NE|OLYMPIA|WA|98508,46.958822,-123.076235,2026-04-17T09:12:27.536560,zip
121 N DIVISION|AUBURN|WA|98001,47.312975,-122.271801,2026-04-17T09:12:27.536562,street
"4033 TALBOT RD S, STE 500|RENTON|WA|98055",47.447982,-122.200482,2026-04-17T09:12:27.536564,street
4535 3RD AVE SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536566,street
201 16TH AVENUE EAST|SEATTLE|WA|98112,47.63752,-122.287651,2026-04-17T09:12:27.536568,zip
4033 TALBOT RD S STE 540|RENTON|WA|98055,47.447982,-122.200482,2026-04-17T09:12:27.536570,street
1849 NW KEARNEY ST|PORTLAND|OR|97209,45.531124,-122.683951,2026-04-17T09:12:27.536572,zip
2151 N HARBOR BLVD|FULLERTON|CA|92835,33.900573,-117.914667,2026-04-17T09:12:27.536578,zip
1519 3RD ST SE|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T09:12:27.536580,street
1100 9TH AVENUE C6-GS|SEATTLE|WA|98101,47.610902,-122.336422,2026-04-17T09:12:27.536582,zip
3124 S 19TH ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536584,street
1717 S J ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536586,street
8821 NE 5TH STREET|VANCOUVER|WA|98664,45.61951,-122.577179,2026-04-17T09:12:27.536588,zip
400 15TH AVENUE SE SUITE A|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T09:12:27.536590,street
"1020 ANDERSON DR, STE 203|ABERDEEN|WA|98520",46.976395,-123.794822,2026-04-17T09:12:27.536592,street
2001 DWIGHT WAY|BERKELEY|CA|94704,37.866417,-122.260922,2026-04-17T09:12:27.536594,zip
10745 DOUBLE R BLVD|RENO|NV|89521,39.371633,-119.675912,2026-04-17T09:12:27.536597,zip
11307 BRIDGEPORT WAY SW STE 217|LAKEWOOD|WA|98499,47.174346,-122.479984,2026-04-17T09:12:27.536599,street
1200 BASICH BLVD|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536601,street
600 E MAIN ST|MCCLEARY|WA|98557,47.055814,-123.26806,2026-04-17T09:12:27.536604,street
1145 BROADWAY|SEATTLE|WA|98122,47.609503,-122.295593,2026-04-17T09:12:27.536606,zip
3375 SW TERWILLIGER BLVD|PORTLAND|OR|97239,45.489938,-122.690453,2026-04-17T09:12:27.536608,zip
500 LILLY RD|OLYPMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536610,street
2121 NE 139TH ST|VANCOUVER|WA|98686,45.723305,-122.62187,2026-04-17T09:12:27.536612,zip
314 NE THORNTON PLACE|SEATTLE|WA|98125,47.716053,-122.302233,2026-04-17T09:12:27.536615,street
201 15TH AVE E|SEATTLE|WA|98112,47.63752,-122.287651,2026-04-17T09:12:27.536617,zip
240 S PARK CIRCLE E|ST AUGUSTINE|FL|32086,29.740948,-81.30016,2026-04-17T09:12:27.536619,zip
2920 S MERIDIAN ST|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T09:12:27.536621,street
2218 SIMPSON AVE|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536623,street
1450 NW LANE SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536625,street
265 COHASSET RD|CHICO|CA|95926,39.74577,-121.843938,2026-04-17T09:12:27.536627,zip
1003 S 5TH ST|TACOMA|WA|98402,47.25383,-122.444295,2026-04-17T09:12:27.536629,zip
625 9TH AVE STE 120|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536631,street
1802 S YAKIMA AVE|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536633,street
406-A BLACK HILLS LN SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536636,street
11011 MERIDIAN AVE N|SEATTLE|WA|98133,47.740485,-122.342826,2026-04-17T09:12:27.536638,zip
406 BLACK HILLS LN SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536640,street
1802 S YAKIMA AVE STE 102|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536642,street
5615 W SUNSET HWY|SPOKANE|WA|99224,47.647672,-117.534951,2026-04-17T09:12:27.536644,zip
597 POINT BROWN AVE NW|OCEAN SHORES|WA|98569,47.005127,-124.16109,2026-04-17T09:12:27.536646,street
1200 COOPER POINT RD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536649,street
224 NORTH WASHINGTON ST|PORT ANGELES|WA|98362,48.110566,-123.414493,2026-04-17T09:12:27.536651,street
3600 NORTH INTERSTATE AVENUE|PORTLAND|OR|97227,45.544151,-122.677095,2026-04-17T09:12:27.536653,zip
11311 BRIDGEPORT WAY SW STE 309|LAKEWOOD|WA|98499,47.174346,-122.479984,2026-04-17T09:12:27.536655,street
1615 DELAWARE STREET|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536657,street
1010 S SCHEUBER ROAD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536659,street
2940 S MERIDIAN|PUYALLUP|WA|98373,47.161258,-122.324801,2026-04-17T09:12:27.536661,street
9040A JACKSON AVE|TACOMA|WA|98431,47.208981,-122.472399,2026-04-17T09:12:27.536663,zip
1624 S ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536665,street
201 TAHOMA BLVD SE|YELM|WA|98597,46.903256,-122.570951,2026-04-17T09:12:27.536668,street
9604 HOLLY POINT DRIVE|HUNTERSVILLE|NC|28078,35.404779,-80.866541,2026-04-17T09:12:27.536670,zip
310 15TH AVE E|SEATTLE|WA|98112,47.63752,-122.287651,2026-04-17T09:12:27.536672,zip
275 BRONSON WAY NE|RENTON|WA|98056,47.510582,-122.183386,2026-04-17T09:12:27.536674,street
900 LILLY RD|OLYMPIA|WA|98501,47.007719,-122.874136,2026-04-17T09:12:27.536676,street
800 5TH AVENUE|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536678,street
1708 S YAKIMA AVE STE 310|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536680,street
825 EASTLAKE AVE E|SEATTLE|WA|98195,47.653833,-122.308348,2026-04-17T09:12:27.536682,zip
21822 76TH AVE W|EDMONDS|WA|98026,47.810165,-122.342193,2026-04-17T09:12:27.536684,street
P.O. BOX 34589|SEATTLE|WA|98124,47.606211,-122.333792,2026-04-17T09:12:27.536687,zip
4001 HARRISON AVE NW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536689,street
"1802 S YAKIMA AVE, STE 102|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T09:12:27.536691,street
1201 PACIFIC AVE|TACOMA|WA|98042,47.363999,-122.116351,2026-04-17T09:12:27.536693,zip
3901 CAPITAL MALL DRIVE SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536695,street
1706 WASHINGTON WAY|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536697,street
3510 FOREST LAKE NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536700,street
505 NE 87TH AVE|VANCOUVER|WA|98664,45.61951,-122.577179,2026-04-17T09:12:27.536702,zip
121 W K ST|SHELTON|WA|98584,47.177996,-123.056342,2026-04-17T09:12:27.536705,street
10217 125TH ST CT E|PUYALLUP|WA|98374,47.130727,-122.267088,2026-04-17T09:12:27.536707,street
3425 ENSIGN RD NE|LACEY|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536709,street
815 K ST|HOQUIAM|WA|98550,46.984787,-123.888536,2026-04-17T09:12:27.536711,street
3703 ENSIGN RD NE|OLYMPIA|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536713,street
700 NE 87TH AVE|VANCOUVER|WA|98664,45.61951,-122.577179,2026-04-17T09:12:27.536715,zip
"1608 S J ST, FLR 5|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T09:12:27.536717,street
11511 CANTERWOOD BOULEVARD NW|GIG HARBOR|WA|98332,47.356307,-122.587923,2026-04-17T09:12:27.536719,street
914 S SCHEUBER ROAD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536721,street
108 KINDLE RD|RANDLE|WA|98377,46.488376,-121.851417,2026-04-17T09:12:27.536723,street
5130 CORPORATE CENTER CT SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536725,street
820 N CHELAN AVE|WENATCHEE|WA|98801,47.431512,-120.345038,2026-04-17T09:12:27.536727,zip
1624 SOUTH I STREET|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536729,street
1003 SOUTH 5TH ST.|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536731,street
1450 NORTHWEST LN SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536734,street
1802 S YAKIMA STE 102|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536736,street
1501 N CAMPBELL AVE|TUCSON|AZ|85724,32.240787,-110.945605,2026-04-17T09:12:27.536738,zip
625 9TH AVE|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536740,street
3773 C MARTIN WAY E|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536742,street
3303 S BOND AVE|PORTLAND|OR|97239,45.489938,-122.690453,2026-04-17T09:12:27.536744,zip
1660 S COLUMBIA WAY|SEATTLE|WA|98108,47.535065,-122.305931,2026-04-17T09:12:27.536746,zip
1 VALLEY HEALTH PLZ|PARAMUS|NJ|07652,40.947299,-74.070169,2026-04-17T09:12:27.536748,zip
176 FIRST AVE N|ILWACO|WA|98624,46.308527,-124.039605,2026-04-17T09:12:27.536751,street
400 15TH AVE SE|PUYALLUP|WA|98372,47.228481,-122.282553,2026-04-17T09:12:27.536753,street
1204 N VERCLER RD|SPOKANE|WA|99216,47.686361,-117.216702,2026-04-17T09:12:27.536755,zip
1231 116TH AVE NE|BELLEVUE|WA|98004,47.618337,-122.205341,2026-04-17T09:12:27.536757,zip
"1338 COMMERCE AVE, STE 106|LONGVIEW|WA|98632",46.157953,-122.941369,2026-04-17T09:12:27.536759,street
6007 E BASELINE RD|MESA|AZ|85206,33.397432,-111.7165,2026-04-17T09:12:27.536761,zip
9135 SW BARNES RD|PORTLAND|OR|97225,45.503048,-122.770132,2026-04-17T09:12:27.536763,zip
597 POINT BROWN AVE|OCEAN SHORES|WA|98569,47.005127,-124.16109,2026-04-17T09:12:27.536765,street
4545 POINT FOSDICK DR|GIG HARBOR|WA|98335,47.312965,-122.592697,2026-04-17T09:12:27.536767,street
3825 MARTIN WAY E|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536770,street
1608 S J ST|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536772,street
9398 RIDGETOP BLVD NW|SILVERDALE|WA|98383,47.66291,-122.718605,2026-04-17T09:12:27.536774,zip
1801 1ST AVE STE 3A|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536776,street
510 RAINIER AVE SOUTH|SEATTLE|WA|98144,47.585627,-122.29196,2026-04-17T09:12:27.536778,zip
1959 NE PACIFIC ST|SEATTLE|WA|98105,47.649072,-122.307264,2026-04-17T09:12:27.536781,street
"11011 MERIDIAN AVE N, STE 101|SEATTLE|WA|98133",47.740485,-122.342826,2026-04-17T09:12:27.536783,zip
1900 MYHRE RD|SILVERDALE|WA|98383,47.651248,-122.676807,2026-04-17T09:12:27.536785,street
2720 CLARE AVE STE A|BREMERTON|WA|98310,47.588113,-122.623885,2026-04-17T09:12:27.536787,street
600 E MAIN ST|ELMA|WA|98541,46.983928,-123.356174,2026-04-17T09:12:27.536789,street
16233 SYLVESTER ROAD SW|BURIEN|WA|98166,47.45661,-122.349735,2026-04-17T09:12:27.536791,street
1609 S MAIN AVE|WARRENTON|OR|97146,46.12514,-123.911368,2026-04-17T09:12:27.536793,zip
1221 MADISON ST 1ST FL|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536795,street
11311 BRIDGEPORT WY SW|LAKEWOOD|WA|98499,47.174346,-122.479984,2026-04-17T09:12:27.536797,street
100 N TRIBAL CENTER RD|SKOKOMISH NATION|WA|98584,47.177996,-123.056342,2026-04-17T09:12:27.536799,street
1536 N 115TH ST|SEATTLE|WA|98133,47.740485,-122.342826,2026-04-17T09:12:27.536801,zip
11315 BRIDGEPORT WAY SW|LAKEWOOD|WA|98499,47.174346,-122.479984,2026-04-17T09:12:27.536803,street
4545 PT FOSDICK DR NW|GIG HARBOR|WA|98335,47.312965,-122.592697,2026-04-17T09:12:27.536805,street
1321 NE 99TH AVE|PORTLAND|OR|97220,45.550787,-122.55956,2026-04-17T09:12:27.536807,zip
11511 CANTERWOOD BLVD NW STE 140|GIG HARBOR|WA|98332,47.356307,-122.587923,2026-04-17T09:12:27.536809,street
200 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536811,street
1101 MADISON ST.|SEATTLE|WA|98102,47.634441,-122.32369,2026-04-17T09:12:27.536813,zip
15700 SW GREYSTONE CT|BEAVERTON|OR|97006,45.52598,-122.855888,2026-04-17T09:12:27.536815,zip
1221 MADISON STREET|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536817,street
333 SE 7TH AVE|HILLSBORO|OR|97123,45.519561,-122.979119,2026-04-17T09:12:27.536819,street
9505 S STEELE ST|TACOMA|WA|98444,47.164022,-122.451457,2026-04-17T09:12:27.536822,street
1600 S COLUMBIAN WAY|SEATTLE|WA|98108,47.535065,-122.305931,2026-04-17T09:12:27.536824,zip
2505 2ND AVE|SEATTLE|WA|98121,47.615192,-122.350581,2026-04-17T09:12:27.536826,zip
"1624 S I ST, STE 102|TACOMA|WA|98405",47.247626,-122.4686,2026-04-17T09:12:27.536828,street
1100 9TH AVE MS M4-PA|SEATTLE|WA|98101,47.610902,-122.336422,2026-04-17T09:12:27.536830,zip
161 FT. WASHINGTON AVENUE|NEW YORK|NY|10032,40.839041,-73.942812,2026-04-17T09:12:27.536832,zip
410 9TH AVE|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536834,street
826 ALDER ST|SOUTH BEND|WA|98586,46.654148,-123.83686,2026-04-17T09:12:27.536837,street
3030 LIMITED LN NW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536839,street
1100 NINTH AVE|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536843,street
2090 NE WYATT COURT|BEND|OR|97701,43.997656,-121.034191,2026-04-17T09:12:27.536845,zip
6800 E GREEN LAKE WAY N|SEATTLE|WA|98115,47.684643,-122.299997,2026-04-17T09:12:27.536847,street
3825 MARTIN WAY E STE 104|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536849,street
"1925 NW AMBERGLEN PKWY, STE 300|HILLSBORO|OR|97006",45.52598,-122.855888,2026-04-17T09:12:27.536851,zip
1802 S UNION AVE|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536854,street
1101 MADISON|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T09:12:27.536856,street
1801 W ROMNEYA DR|ANAHEIM|CA|92801,33.844983,-117.952151,2026-04-17T09:12:27.536858,zip
"1006 NORTH ""H"" STREET|ABERDEEN|WA|98520",46.976395,-123.794822,2026-04-17T09:12:27.536860,street
3710 SW US VETERANS CENTER RD|PORTLAND|OR|97239,45.489938,-122.690453,2026-04-17T09:12:27.536862,zip
915 ANDERSON DR|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536864,street
3900 FACTORIA BLVD SE|BELLEVUE|WA|98006,47.558679,-122.150125,2026-04-17T09:12:27.536866,street
1608 S JST FLOOR 3|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536868,street
20 S PARK ST|MADISON|WI|53715,43.05561,-89.387808,2026-04-17T09:12:27.536870,zip
24261 US HWY 101|HOODSPORT|WA|98548,47.405966,-123.141241,2026-04-21T13:47:29.832224,street
2501 NE 134TH ST|VANCOUVER|WA|98686,45.630695,-122.674456,2026-04-21T13:47:33.071378,street
11307 BRIDGEPORT WAY SW|LAKEWOOD|WA|98499,47.154882,-122.501073,2026-04-21T13:47:33.996304,street
9600 VETERANS DR SW|TACOMA|WA|98498,47.13505,-122.575309,2026-04-21T13:47:36.723248,street
2555 MARVIN ROAD NE|LACEY|WA|98516,47.071089,-122.772948,2026-05-16T14:42:44.843128,street
PO BOX 2229|WEST PORT|WA|98595,46.889112,-124.110938,2026-05-16T14:42:48.230966,street
10452 SILVERDALE WAY NW|SILVERDALE|WA|98383,47.658042,-122.686678,2026-05-16T14:42:49.439534,street
3700 PACIFIC HWY E|FIFE|WA|98424,47.241771,-122.37889,2026-05-16T14:42:50.937974,street
2690 NE KRESKY AVE|CHEHALIS|WA|98532,46.694277,-122.955414,2026-05-20T16:04:09.468844,street
1815 HUDSON ST|LONGVIEW|WA|98632,46.137664,-122.941715,2026-06-03T11:54:33.373866,street
954 ANDERSON DR # 102|ABERDEEN|WA|98520,46.975371,-123.815722,2026-06-11T22:23:06.723319,city
