addr_key,lat,lon,geocoded_at,source
1660 SOUTH COLUMBIAN WAY|SEATTLE|WA|98108,47.563041,-122.308781,2026-04-17T08:52:23.104402,street
1221 MADISON ST|SEATTLE|WA|98104,47.601537,-122.329208,2026-04-17T08:52:23.104415,street
6320 N LA CHOLLA BLVD|TUCSON|AZ|85741,32.228243,-111.011741,2026-04-17T08:52:23.104427,street
316 MLK JR WAY|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T08:52:23.104439,street
914 S SCHEUBER RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T08:52:23.104452,street
273 SUSSEX AVE E|TENINO|WA|98589,46.858508,-122.854366,2026-04-17T08:52:23.104463,street
1950 NW MYHRE ROAD|SILVERDALE|WA|98383,47.658274,-122.675918,2026-04-17T08:52:23.104476,street
9040 JACKSON AVE|TACOMA|WA|98431,47.109075,-122.552149,2026-04-17T08:52:23.104488,street
1959 NE PACIFIC ST  BOX 356158|SEATTLE|WA|98195,47.603832,-122.330062,2026-04-17T08:52:23.104499,city
"1100 9TH AVE, MS C2HEM|SEATTLE|WA|98101",47.603832,-122.330062,2026-04-17T08:52:23.104510,city
1006 N H ST|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T08:52:23.104521,street
105 W SIMPSON AVE|MCCLEARY|WA|98557,47.055814,-123.26806,2026-04-17T08:52:23.104533,street
601 MCPHEE RD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T08:52:23.104545,street
844 NORTH 5TH AVE|SEQUIM|WA|98382,48.065631,-123.017876,2026-04-17T08:52:23.104557,street
1412 SW 43RD ST|RENTON|WA|98057,47.478795,-122.212693,2026-04-17T08:52:23.104569,street
149 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.104580,street
149 LILY ROAD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T08:52:23.104590,street
4525 3RD AVE SE STE 200|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T08:52:23.104602,street
